music_alias,music_name,music_rating,music_singer,music_tags,music_time,music_url,music_votes
,A Light That Never Comes (Remixes),6.8,林肯公园 Linkin Park,LinkinPark|Rock|Electronic|美国|2014|Single|Nu-Metal|EP,2014-01-17,https://music.douban.com/subject/25818183/,35
,Crawling,9.3,Linkin Park,LinkinPark|欧美|park|linkin|Rock|LP|2001|美国,2001-04-24,https://music.douban.com/subject/3711849/,63
,No Roads Left,8.6,Linkin Park,LinkinPark|Single/EP|Nu-Metal|美国|男声|单曲|linkinpark|Rock,2007-05-15,https://music.douban.com/subject/5293140/,23
,Linkin Park Reanimation Dual Disc,9.4,,LinkinPark|摇滚|Rock|金属|美国|混音|林肯公园|Nu-Metal,,https://music.douban.com/subject/3711847/,233
,Live in Texas CD/Dvd,9.9,Linkin Park,LinkinPark|美国|US|Live|英文|live|Pop,2008-01-13,https://music.douban.com/subject/3348117/,41
,Somewhere I Belong,9.1,Linkin Park,LinkinPark|2003|Pop|美国|Park|林肯公园|metal|Nu-Metal,2003,https://music.douban.com/subject/5254759/,64
,We Made It,8.8,Busta Rhymes|Linkin Park,LinkinPark|美国|林肯公园|BustaRhymes|2008|Vincent|Single|Rock,2008-07-29,https://music.douban.com/subject/3909591/,19
,墙身有裂,6.9,黄妍,香港|粤语|Single|2020|HK|黄妍|女声|Pop,2020-05-15,https://music.douban.com/subject/35068774/,16
One Second,一秒,7.6,林欣彤 Mag Lam,2019|香港|粵語|粤语|林欣彤|single|港乐|Single,2019-10-23,https://music.douban.com/subject/34870347/,20
,Whoa.,9.0,GTB,2019|香港|粤语|HK|GTB|女声|Rap|2010's,2019-12-20,https://music.douban.com/subject/34925142/,32
,我的片单,7.9,Zpecial,粤语|Single|2020|香港|HK|港樂|港乐|廣東歌,2020-04-24,https://music.douban.com/subject/35047547/,18
Handsome Guys,我们很帅,7.9,ERROR,组合|Error|粤语|Single|2020|香港|造星仔仔|廣東歌,2020-04-04,https://music.douban.com/subject/35019490/,18
,人间有爱,7.7,R.O.O.T,粤语|2020|香港|Indie-Pop|HK|廣東歌|单曲|single,2020-05-22,https://music.douban.com/subject/35087133/,15
,百毒不侵,8.9,橡皮筋乐队 RubberBand,粤语|Single|HK|2020|香港|港乐|band|RubberBand,2020-06-24,https://music.douban.com/subject/35116947/,16
,越活越惹祸,8.3,莎妮妮 Serrini,2020|粤语|Single|Serrini|香港|HK|讽刺|政治,2020-07-01,https://music.douban.com/subject/35118303/,37
